Rank,Song,Artist,Year,Lyrics_List
92,cherry bomb,john cougar mellencamp,1988,"well,lived,outskirts,town,eight,room,farmhouse,baby,brothers,friends,around,always,somethin,doin,couple,real,nice,girlfriends,stopped,see,every,think,back,days,sit,smile,thats,smoke,smoke,groovin,groovin,dancin,meant,everything,young,improvin,laughin,laughin,friends,holdin,hands,meant,somethin,baby,outside,club,cherry,bomb,hearts,really,thumpin,say,yeah,yeah,yeah,say,yeah,yeah,yeah,winter,days,last,forever,weekends,went,quick,went,ridin,around,little,country,town,goin,nuts,girl,sticks,one,night,big,mouth,couple,guys,put,place,see,guys,days,laugh,say,remember,thats,smoke,smoke,groovin,groovin,dancin,meant,everything,young,improvin,laughin,laughin,friends,holdin,hands,meant,somethin,baby,outside,club,cherry,bomb,hearts,really,thumpin,say,yeah,yeah,yeah,say,yeah,yeah,yeah,say,yeah,yeah,yeah,say,yeah,yeah,yeah,seventeen,turned,thirtyfive,im,suprised,still,livin,weve,done,wrong,hope,forgiven,got,kids,days,still,dont,know,hope,theyre,laughin,loud,hear,talkin,like,thats,smoke,smoke,groovin,groovin,dancin,meant,everything,young,improvin,laughin,laughin,friends,holdin,hands,meant,much,baby,outside,club,cherry,bomb,hearts,really,thumpin,say,yeah,yeah,yeah,say,yeah,yeah,yeah"
93,i still believe,brenda k starr,1988,"look,eyes,get,emotional,inside,know,crazy,still,touch,heart,time,youd,think,wouldnt,feel,time,melts,nothing,nothings,changedi,still,believe,someday,find,love,dream,someday,find,love,againeach,day,life,im,filled,joy,could,find,know,im,desperate,type,theres,one,spark,hope,left,grasp,ill,hold,hands,worth,risk,burning,second,chanceno,need,baby,still,believe,together,believe,true,love,never,end,must,know,love,againi,still,believe,someday,find,love,dream,find,love,againi,still,believe,someday,find,love,dream,someday,find,love"
94,i found someone,cher,1988,"dont,know,many,things,come,go,like,words,rang,true,like,love,thought,found,youand,remember,thunder,talkin,bout,fire,eyes,walked,away,needed,maybe,baby,maybe,babyi,found,someone,take,away,heartache,take,away,loneliness,ive,feelin,since,youve,gone,since,youve,gonedry,eyes,never,could,bear,see,cry,someday,love,shine,show,feelings,never,really,knewbaby,dont,lose,thunder,talkin,bout,fire,eyes,youre,lookin,still,dont,believe,maybe,baby,maybe,babyi,found,someone,take,away,heartache,take,away,loneliness,ive,feelin,since,youve,gone,since,youve,gonetoo,long,borderline,wonderin,love,really,mine,left,open,eyes,realizedbaby,found,someone,take,away,heartache,take,away,loneliness,ive,feelin,since,youve,gonebaby,found,someone,take,away,heartache,take,away,loneliness,ive,feelin,since,youve,gone,since,youve,gone"
95,never tear us apart,inxs,1988,"dont,ask,know,true,dont,tell,love,precious,hearti,standing,two,worlds,collided,could,never,tear,us,apartwe,could,live,thousand,years,hurt,id,make,wine,tearsi,told,could,fly,cause,wings,us,dont,know,whyi,standing,two,worlds,collided,could,never,ever,tear,us,aparti,standing,two,worlds,collided,could,never,tear,us,apartyou,standing,two,worlds,collided,could,never,tear,us,aparti,standing,two,worlds,collided"
96,valerie,steve winwood,1988,"wild,standing,hands,hair,cant,help,remember,touched,theres,still,face,placeso,cool,like,jazz,summers,day,music,high,sweet,blew,away,cant,warm,wind,armsvalerie,call,call,valerie,come,see,im,boy,used,belove,songs,fill,night,dont,tell,lovers,cry,like,theyre,dying,cries,hang,time,somewheresomeday,good,wind,may,blow,back,night,may,hear,like,used,cant,warm,wind,armsvalerie,call,call,valerie,come,see,im,boy,used,beso,cool,like,jazz,summers,day,music,high,sweet,blew,away,cant,warm,wind,armsvalerie,call,call,valerie,come,see,im,boy,used,beim,boy,used"
97,just like paradise,david lee roth,1988,"rockin,steady,daddys,car,got,stereo,big,guitars,thats,righti,got,itch,restless,soul,gone,wind,gonna,go,broke,tonight,yeah,thats,nightgirl,weve,meant,since,born,problems,coast,clear,calm,stormthis,must,like,livin,paradise,like,paradise,dont,want,go,home,dont,wanted,gothis,must,like,livin,paradise,dont,want,go,homesuzy,suzy,girl,cryin,loud,got,right,moves,make,eat,heart,nightly,thats,right,meno,special,favors,make,cash,well,spend,later,got,make,romance,last,thats,thats,itsome,folks,say,easy,come,easy,go,folks,say,one,night,aint,enough,girl,hang,tight,dont,let,gothis,must,like,livin,paradise,like,paradise,dont,want,go,home,aint,never,goin,homethis,must,like,livin,paradise,like,like,paradise,dont,want,go,home,incomprehensiblethis,must,like,livin,paradise,paradise,paradise,dont,want,go,home,dont,dont,want,go,homethis,must,like,livin,paradise,like,like,paradise,dont,want,go,homethis,must,like,livin,paradise,like,like,paradise,dont,want,go,home,like,like,paradisethis,must,like,livin,paradise"
98,nothin but a good time,poison,1988,"listen,dime,cant,pay,rent,barely,make,week,saturday,night,id,like,make,girl,right,cant,make,ends,meetim,always,workin,slavin,every,day,gotta,get,break,old,old,need,chance,get,away,could,hear,think,id,saydont,need,nothin,good,time,resist,aint,lookin,nothin,good,time,dont,get,better,thisthey,say,spend,money,women,wine,couldnt,tell,spent,last,night,im,really,sorry,shape,im,like,fun,every,thenim,always,workin,slavin,every,day,gotta,get,break,old,old,need,chance,get,away,could,hear,think,id,saydont,need,nothin,good,time,resist,aint,lookin,nothin,good,time,dont,get,better,thisyou,see,raise,toast,us,breakin,backs,every,day,wantin,good,life,crime,lord,put,away,heres,yadont,need,nothin,good,time,resist,aint,lookin,nothin,good,time,dont,get,better,thisdont,need,nothin,good,time,resist,aint,lookin,nothin,good,time,dont,get,better,dont,get,better"
99,wait,white lion,1988,"wait,wait,never,chance,love,wanna,say,love,one,timewait,moment,love,die,cause,must,know,reason,say,goodbye,wait,moment,tell,cause,show,lovin,wont,denyi,said,wait,show,lovin,like,cause,wont,let,feelin,walk,door,said,wait,moment,try,cause,babe,need,hold,like,beforeso,go,away,know,follow,cause,theres,place,inside,heart,tells,hold,hold,hold,oh,babywait,wait,never,chance,love,wait,wait,love,could,show,wait,wait,never,wanna,without,wait,wait,never,chance,love,wanna,say,love,one,timeso,go,away,know,follow,cause,theres,place,inside,heart,tells,hold,hold,hold,oh,oh,babywait,wait,never,chance,love,wait,wait,love,could,show,wait,wait,never,wanna,without,wait,wait,never,chance,love,wanna,say,love,youno,never,chance,love"
100,prove your love,taylor dayne,1988,"prove,love,got,prove,love,ooh,yeahi,hear,ive,got,know,true,youre,telling,trust,believe,promised,much,talk,cheapyou,told,youre,serious,got,know,sure,say,much,want,ive,heard,beforeprove,love,got,prove,love,want,tonight,show,stuff,cause,words,enough,wanna,hear,body,talk,mineboy,feel,love,rise,message,revealed,eyes,know,cant,wait,know,passion,late,take,actioncan,say,youre,ill,know,love,well,baby,ive,patient,im,ready,find,outprove,love,got,prove,love,want,tonight,show,stuff,cause,words,enough,wanna,hear,body,talk,mineyou,tell,youre,serious,got,know,sure,say,want,ive,heard,beforeprove,love,got,prove,love,want,tonight,show,stuff,cause,words,enough,wanna,hear,bodyprove,love,got,prove,love,want,tonight,show,stuff,cause,words,enough,wanna,hear,body,talk,mineprove,love,got,prove,love,want,tonight,show,stuff,cause,words,enough,wanna,hear,bodyprove,love,got,prove,love,want,tonight,show,stuff,cause,words,enough,wanna,hear,body"
1,look away,chicago,1989,"called,mornin,told,bout,new,love,found,said,im,happy,im,really,happy,youfound,someone,else,guess,wont,comin,round,guess,baby,really,baby,whoaand,said,know,youve,gotten,itll,never,way,used,gotta,way,dont,worry,baby,take,news,okaybut,see,walkin,tears,eyes,look,away,baby,look,awayif,meet,streets,someday,dont,know,say,look,away,baby,look,away,dont,look,dont,want,see,waywhen,agreed,lovers,better,friends,thats,yeah,thats,bei,tell,im,fine,sometimes,pretend,wish,holdin,wish,still,holdin,whoai,never,thought,would,replaced,soon,wasnt,prepared,hear,words,know,wanted,free,yeah,baby,wanted,bebut,see,walkin,tears,eyes,look,away,baby,look,awayand,meet,streets,someday,dont,know,say,look,away,baby,look,away,dont,look,dont,want,see,wayif,see,walkin,tears,eyes,look,away,baby,look,awayand,meet,streets,someday,dont,know,say,look,away,baby,look,away,dont,look,dont,want,see,wayif,see,walkin,tears,eyes,look,away,baby,look,away,dont,look,dont,want,see,waywhen,called,mornin,told,bout,new,love,found,said,im,happy,im,really,happy"
2,my prerogative,bobby brown,1989,"get,busy,everybodys,talkin,stuff,dont,let,live,oh,oh,oh,dont,need,permission,make,decisions,oh,thats,prerogativethey,say,im,crazy,really,dont,care,thats,prerogative,say,im,nasty,dont,give,damn,gettin,girls,live,ask,questions,real,dont,understand,really,dont,know,deal,brother,trying,hard,make,right,long,ago,win,fight,singeverybodys,talkin,stuff,dont,let,live,tell,dont,need,permission,make,decisions,oh,thats,prerogative,prerogative,prerogativeits,way,wanna,live,prerogative,feel,prerogative,one,tell,prerogative,cause,im,doin,im,doin,nowdont,get,wrong,im,really,zooped,ego,trips,thing,strange,relationships,really,gets,see,nothin,wrong,spreadin,around,singeverybodys,talkin,stuff,yeah,dont,let,live,tell,dont,need,permission,dont,need,make,decisions,decisions,thats,prerogative,prerogative,prerogativei,wanna,prerogative,truly,live,life,prerogative,im,doin,prerogative,tell,tell,mewhy,cant,live,life,live,life,without,things,people,say,oh,ohyo,tell,kick,like,oh,noi,wanna,together,together,together,together,togethereverybodys,talkin,stuff,everybodys,talkin,dont,let,live,dont,let,live,girl,dont,need,permission,dont,need,permission,make,decisions,thats,prerogativeeverybodys,talkin,stuff,everybodys,talkin,dont,let,live,dont,need,permission,dont,need,make,decisions,decisions,thats,prerogativewhat,bizzit,cant,money,pocket,people,talk,world,trip,dont,know,whats,going,days,got,person,talking,person,hey,listen,lemme,tell,something,prerogative,want,doi,made,money,didnt,right,ted,outta,hereits,myits,prerogative"
3,every rose has its thorn,poison,1989,"lie,silently,still,dead,night,although,lie,close,together,feel,miles,apart,inside,something,said,something,words,come,right,though,tried,hurt,though,tried,guess,thats,sayevery,rose,thorn,like,every,night,dawn,like,every,cowboy,sings,sad,sad,song,every,rose,thornyeah,listen,favorite,song,playing,radio,hear,dj,say,loves,game,easy,come,easy,go,wonder,know,ever,felt,like,know,youd,right,could,let,know,somehow,guessevery,rose,thorn,like,every,night,dawn,like,every,cowboy,sings,sad,sad,song,every,rose,thornthough,still,feel,much,pain,like,knife,cuts,wound,heals,scar,scar,remains,know,could,saved,love,night,id,known,say,instead,making,love,made,separate,ways,found,somebody,new,never,meant,much,hear,tears,inside,see,cuts,like,knifei,guess,every,rose,thorn,like,every,night,dawn,like,every,cowboy,sings,sad,sad,song,every,rose,thorn"
4,straight up,paula abdul,1989,"straight,tell,straight,tell,straight,tell,straight,tell,mestraight,tell,really,want,love,forever,oh,oh,oh,caught,hit,run,straight,tell,gonna,together,oh,oh,oh,fun,straight,tell,medo,love,love,love,cmon,love,melost,dream,dont,know,way,go,seem,baby,im,movin,way,slowive,fool,wouldnt,like,get,love,caught,slammin,door,information,pleasestraight,tell,really,want,love,forever,oh,oh,oh,caught,hit,run,straight,tell,gonna,together,oh,oh,oh,funstraight,tell,straight,tell,straight,tell,straight,tell,metimes,standin,still,waitin,small,clue,keep,getting,chills,think,love,trueive,fool,wouldnt,like,get,love,caught,slammin,door,hot,meor,page,history,book,dont,mean,make,demands,word,deed,go,hand,hand,information,pleasestraight,tell,straight,tell,straight,tell,straight,tell,mestraight,tell,straight,tell,really,want,love,forever,oh,oh,oh,caught,hit,run,straight,tell,gonna,together,oh,oh,oh,funyou,hard,read,play,hide,seek,true,intentions,youre,playin,games,ill,say,bye,bye,bye,bye,bye,bye,bye,byedo,love,love,love,love,mestraight,tell,straight,tell,straight,tell,straight,tell,mestraight,tell,straight,tell,really,want,love,forever,oh,oh,oh,caught,hit,run,straight,tell,gonna,together,oh,oh,oh,funstraight,tell"
5,miss you much,janet jackson,1989,"shot,like,arrow,heart,thats,pain,feel,feel,whenever,apart,say,im,love,whos,say,im,know,feels,wrong,im,away,long,makes,body,hot,let,tell,ya,baby,ill,tell,mama,ill,tell,friends,ill,tell,anyone,whos,heart,comprehend,send,letter,baby,tell,phone,im,kinda,girl,likes,alone,miss,ya,much,really,miss,much,miss,ya,much,baby,really,miss,ya,muchim,rushing,home,soon,im,rushing,home,see,smiling,face,feel,warm,embrace,makes,feel,ggggood,ill,tell,ya,baby,ill,tell,mama,ill,tell,friends,ill,tell,anyone,whos,heart,comprehend,send,letter,baby,tell,phone,im,kinda,girl,likes,alone,miss,ya,much,really,miss,much,miss,ya,much,baby,really,miss,ya,much,miss,ya,much,really,miss,much,miss,ya,much,baby,really,miss,ya,much,miss,much,miss,much,really,miss,much,miss,much,miss,muchill,tell,mama,ill,tell,friends,ill,tell,anyone,whos,heart,comprehend,send,letter,baby,tell,phone,im,kinda,girl,likes,alone,miss,ya,much,really,miss,much,miss,ya,much,baby,really,miss,ya,much,miss,ya,much,really,miss,much,miss,ya,much,baby,really,miss,ya,much,thats,end"
6,cold hearted,paula abdul,1989,"hes,cold,hearted,snake,girl,look,eyes,oh,oh,hes,tellin,lies,hes,lover,boy,play,though,dont,play,rules,oh,oh,girl,dont,play,fool,noyoure,one,givin,love,anytime,needs,turn,back,hes,runnin,crowd,youre,one,sacrifice,anything,please,really,think,thinks,hes,outhes,cold,hearted,snake,girl,look,eyes,oh,oh,hes,tellin,lies,hes,lover,boy,play,though,dont,play,rules,oh,oh,girl,dont,play,fool,noit,late,last,night,sneakin,called,check,waiting,phone,worlds,candy,store,hes,trick,treatin,comes,true,love,girl,theres,one,homehes,cold,hearted,snake,girl,look,eyes,oh,oh,hes,tellin,lies,hes,lover,boy,play,though,dont,play,rules,oh,oh,girl,dont,play,fool,noyou,could,find,somebody,better,girl,could,make,cry,deserve,somebody,better,girl,hes,ccold,ice,cold,ice,hes,cold,ice,hes,cold,ice,stay,away,girlcccold,hearted,cccold,hearted,snake,cccold,hearted,cccold,hearted,snakehes,cold,hearted,snake,girl,look,eyes,oh,oh,hes,tellin,lies,hes,lover,boy,play,though,dont,play,rules,oh,oh,girl,dont,play,fool,nolook,eyes,hes,tellin,lies,dont,play,rules,girl,dont,play,foolhes,cold,hearted,snake,girl,look,eyes,oh,oh,hes,tellin,lies,hes,lover,boy,play,though,dont,play,rules,oh,oh,girl,dont,play,foolhes,cold,hearted,snake,girl,look,eyes,oh,oh,hes,tellin,lies,hes,lover,boy,play,though"
7,wind beneath my wings,bette midler,1989,"oh,oh,oh,ohit,must,cold,shadow,never,sunlight,face,content,let,shine,thats,way,always,walked,step,behindso,one,glory,one,strength,beautiful,face,without,name,long,beautiful,smile,hide,paindid,ever,know,youre,hero,everything,would,like,fly,higher,eagle,wind,beneath,wingsit,might,appeared,go,unnoticed,ive,got,heart,want,know,know,truth,course,know,would,nothing,without,youdid,ever,know,youre,hero,youre,everything,wish,could,could,fly,higher,eagle,wind,beneath,wingsdid,ever,tell,youre,hero,youre,everything,everything,wish,could,oh,could,fly,higher,eagle,wind,beneath,wings,cause,wind,beneath,wingsoh,wind,beneath,wings,wind,beneath,wings,fly,fly,fly,away,let,fly,high,oh,wind,beneath,wings,oh,youyou,wind,beneath,wingsfly,fly,high,sky,high,almost,touch,sky,thank,thank,thank,god,wind,beneath,wings"
8,girl you know its true,milli vanilli,1989,"im,love,girl,cause,youre,mind,youre,one,think,every,time,pack,smile,everything,dont,understand,girl,love,trueyoure,soft,succulent,sweet,thin,thats,kind,like,vision,upon,skin,lightens,day,thats,oh,true,together,one,separated,twoto,make,mine,mine,desire,cause,contain,quality,admire,youre,pretty,plain,simple,rule,world,try,understand,im,love,girl,im,love,girl,im,love,girl,truegirl,know,true,ooh,ooh,ooh,love,yes,know,true,ooh,ooh,ooh,love,girl,know,true,love,girl,know,true,love,youthis,sort,thing,girl,cant,explain,emotions,starts,hear,name,maybe,sweet,sweet,voice,would,ring,ear,delay,system,nearcome,positive,emotion,love,making,enjoyin,thats,bust,like,girl,boy,feelings,get,often,wonder,thought,might,discuss,girl,youand,youre,wearing,dont,care,ive,said,reason,like,girl,said,id,think,rule,world,try,understand,im,love,girl,im,love,girl,im,love,girl,truegirl,know,true,ooh,ooh,ooh,love,yes,know,true,ooh,ooh,ooh,love,girl,know,true,love,girl,know,true,lovegirl,know,true,ooh,ooh,ooh,love,yes,know,true,ooh,ooh,ooh,love"
9,baby i love your wayfreebird medley,will to power,1989,"shadows,grow,long,eyes,theyre,moving,across,page,suddenly,day,turns,night,far,away,citybut,dont,hesitate,cause,love,love,wont,wait,hononoooh,baby,love,way,every,day,ooh,wanna,tell,love,way,every,day,ooh,wanna,night,dayhey,yeah,love,wayif,leave,tomorrow,still,remember,must,traveling,theres,many,places,gotta,seebut,stayed,girl,things,wouldnt,cause,im,free,bird,bird,never,change,bird,never,changeshadows,grow,long,eyes,help,fireflies,wonder,power,shine,see,pinesbut,dont,hesitate,cause,love,wont,waitooh,baby,love,way,ooh,wanna,tell,love,way,ooh,baby,love,way,every,day,ooh,wanna,tell,love,way,love,way,ooh,baby,love,way,give,way,wanna,tell,love,way,ooh,baby,love,wayooh,baby,love,way,ooh,wanna,tell,love,way,ooh,baby,love,way,ooh,wanna,tell,love,way,ooh,baby,love,way"
10,giving you the best that i got,anita baker,1989,"aint,something,give,exchange,everything,give,read,mind,make,feel,fine,think,peace,mind,reachthe,scales,sometimes,unbalanced,bear,weight,hope,see,lean,together,calm,stormy,seawe,love,strong,unselfishly,tell,made,vow,im,giving,best,got,baby,yes,tell,made,vow,im,giving,best,got,honeyeverybodys,got,opinions,bout,way,think,storys,gonna,end,folks,feel,superficial,thrill,everybodys,gonna,think,againwe,love,strong,unselfishly,dont,bother,im,gonna,keep,giving,best,got,baby,dont,bother,said,im,gonna,keep,giving,best,got,listen,babysomebody,understands,somebody,gave,heart,stumbled,whole,life,long,always,im,homemy,weary,mind,rested,feel,home,arms,fears,gone,like,sound,song,think,wanna,sing,foreverwe,love,strong,unselfishly,made,vow,tell,im,giving,best,got,listen,baby,bet,everything,wedding,ring,im,giving,best,got,givin,babygiving,best,got,giving,best,got,giving,best,got"
11,right here waiting,richard marx,1989,"oceans,apart,day,day,slowly,go,insane,hear,voice,line,doesnt,stop,painif,see,next,never,say,foreverwherever,go,whatever,right,waiting,whatever,takes,heart,breaks,right,waiting,youi,took,granted,times,thought,would,last,somehow,hear,laughter,taste,tears,cant,get,near,nowoh,cant,see,baby,youve,got,going,crazywherever,go,whatever,right,waiting,whatever,takes,heart,breaks,right,waiting,youi,wonder,survive,romance,end,im,ill,take,chanceoh,cant,see,baby,youve,got,going,crazywherever,go,whatever,right,waiting,whatever,takes,heart,breaks,right,waiting,waiting"
12,waiting for a star to fall,boy meets girl,1989,"hear,name,whispered,wind,sound,makes,cry,hear,song,blow,mind,dont,know,wish,didnt,feel,strong,like,happiness,love,revolve,around,youtrying,catch,heart,like,trying,catch,star,many,people,love,baby,must,arewaiting,star,fall,carry,heart,arms,thats,belong,arms,baby,yeahive,learned,feel,cannot,see,lose,vision,dont,know,dream,dream,im,caught,superstition,want,reach,pull,says,let,wild,one,go,freetrying,catch,heart,like,trying,catch,star,cant,love,much,baby,love,farwaiting,star,fall,carry,heart,arms,thats,belong,arms,baby,yeahwaiting,however,long,dont,like,waiting,ill,wait,youits,hard,waiting,dont,long,seems,like,waiting,makes,love,even,morewaiting,star,fall,carry,heart,arms,thats,belong,arms,baby,yeah"
13,lost in your eyes,debbie gibson,1989,"verse,1,get,lost,eyes,feel,spirits,rise,soar,like,wind,love,ini,get,weak,glance,isnt,whats,called,romance,know,cause,im,lost,cant,let,gochorus,dont,mind,knowing,im,headed,take,skies,like,lost,heaven,im,lost,eyesverse,2,fell,dont,know,somethings,cant,deny,first,knew,first,looked,youand,cant,find,way,salvation,seems,worlds,away,oh,ill,found,lost,eyeschorus,dont,mind,knowing,im,headed,take,skies,oh,like,lost,heaven,im,lost,eyesverse,3,get,weak,glance,isnt,whats,called,romance,oh,ill,found,lost,eyes"
14,dont wanna lose you,gloria estefan,1989,"sometimes,hard,make,things,clear,know,face,truth,know,moment,ill,open,heart,show,inside,love,pride,feel,ive,got,nothing,hide,open,eyes,see,want,myselfi,dont,wanna,lose,gonna,get,somehow,dont,wanna,lose,forever,baby,finally,found,courage,stand,ground,want,ill,around,foreverwe,make,mistakes,lose,way,stood,test,time,hope,thats,way,stay,tell,go,cause,wont,walk,away,youre,know,know,thati,dont,wanna,lose,gonna,get,somehow,dont,wanna,lose,forever,never,baby,finally,found,courage,stand,ground,want,ill,around,forever,forever,yea,yea"
15,heaven,warrant,1989,"got,picture,house,youre,standing,door,black,white,faded,looking,pretty,worn,see,factory,worked,silhouetted,back,memories,gray,man,theyre,really,coming,back,dont,need,king,world,long,im,hero,little,girlheaven,isnt,far,away,closer,every,day,matter,friends,might,say,find,wayhow,love,way,move,sparkle,eyes,theres,color,deep,inside,like,blue,suburban,sky,come,home,late,night,youre,bed,asleep,wrap,arms,around,feel,breath,dont,need,superman,long,always,biggest,fanheaven,isnt,far,away,closer,every,day,matter,friends,might,say,well,find,way,yeahnow,lights,going,along,boulevard,memories,come,rushing,back,makes,pretty,hard,ive,got,nowhere,left,go,one,really,cares,dont,know,im,never,giving,youheaven,isnt,far,away,closer,every,day,matter,friends,might,say,yeahfind,way,heaven,far,away,heaven,far,away,heaven,isnt,far,away,far,away,far,way,far,way,far"
16,girl im gonna miss you,milli vanilli,1989,"knew,start,would,break,heart,still,play,painful,part,rapped,round,itty,bitty,finger,magic,smile,kept,hangin,lovers,cross,put,spell,took,breath,away,nothin,could,make,stay,im,gonna,miss,love,feel,nothing,could,make,change,point,view,oh,girl,im,gonna,miss,babychorus,giving,love,feel,couldnt,make,change,point,view,youre,leavin,im,sittin,im,wastin,time,dont,know,doits,tragedy,see,dream,never,forget,day,met,girl,im,gonna,miss,youlike,honey,bee,took,best,cant,erase,memories,like,fairy,tale,unreal,left,scar,thats,hard,heal,taste,paradise,back,earth,feel,cold,ice,im,gonna,miss,miss"
17,the look,roxette,1989,"one,two,three,four,walking,like,man,hitting,like,hammer,shes,juvenile,scam,never,quitter,tasty,like,raindrop,shes,got,lookheavenly,bound,cause,heavens,got,number,shes,spinning,around,kissing,color,loving,wild,dog,shes,got,lookshes,got,look,shes,got,look,shes,got,look,shes,got,look,world,make,browneyed,girl,turn,blue,everything,ill,ever,ill,go,la,la,la,la,la,shes,got,lookfire,ice,naked,tbone,lovers,disguise,banging,head,drum,shaking,like,mad,bull,shes,got,lookswaying,band,moving,like,hammer,shes,miracle,man,loving,ocean,kissing,wet,sand,shes,got,lookshes,got,look,shes,got,look,shes,got,look,shes,got,look,world,make,browneyed,girl,turn,blue,everything,ill,ever,ill,go,la,la,la,la,la,shes,got,lookwalking,like,man,hitting,like,hammer,shes,juvenile,scam,never,quitter,tasty,like,raindrop,shes,got,lookshe,goes,na,na,na,na,na,na,shes,got,lookshes,got,look,shes,got,look,shes,got,look,shes,got,look,world,make,browneyed,girl,turn,blue,everything,ill,ever,ill,go,la,la,la,la,la,shes,got,lookwhat,world,make,blue,everything,ill,ever,ill,go,la,la,la,la,la,na,na,na,na,na,na,shes,got,look,goes,na,na,na,na,na,na,shes,got,look,shes,got,look,goes,na,na,na,na,na,na,shes,got,look,shes,got,look,goes,na,na,na,na,na,na"
18,she drives me crazy,fine young cannibals,1989,"cant,stop,way,feel,things,dont,seem,real,tell,youve,got,mind,cause,running,time,wont,ever,set,free,waiting,rounds,killing,meshe,drives,crazy,like,one,else,drive,crazy,cant,help,myselfi,cant,get,rest,people,say,im,obsessed,everything,say,lies,thats,surprise,true,things,go,wrong,always,doshe,drives,crazy,like,one,else,drive,crazy,cant,help,myselftell,youve,got,mind,cause,running,time,wont,ever,set,free,waiting,rounds,killing,meshe,drives,crazy,like,one,else,drive,crazy,cant,help,myselfi,wont,make,one,likes,loneshe,drives,crazy,like,one,else,drive,crazy,cant,help,drives,crazy,like,one,else"
19,on our own,bobby brown,1989,"hot,handle,cold,hold,theyre,called,ghost,busters,theyre,control,em,throwin,party,bunch,children,slime,buildingso,packed,group,got,grip,came,equipped,grabbed,proton,packs,back,split,found,vigo,master,evil,try,battle,boys,thats,legaldance,dance,dance,dance,dance,dance,dance,yeah,think,gonna,another,one,funky,ones,heart,soul,dance,yeah,think,gonna,another,one,funky,onesif,youd,wanna,winnin,want,somethin,bad,yo,gotta,wanna,give,cause,believe,much,know,kiddin,feel,yo,gotta,want,take,ballnow,find,nothin,given,dont,know,cards,may,fall,know,weve,gotta,get,weve,gotta,make,ownwell,guess,gonna,take,control,us,weve,got,take,home,ownnow,cant,see,need,go,getter,gotta,make,decisions,gotta,go,know,dance,comes,time,lives,wanna,bigger,gotta,keep,keep,pushing,gotta,learn,take,control,yeahnow,find,nothin,given,dont,know,cards,may,fall,know,weve,gotta,get,weve,gotta,make,ownwell,guess,gonna,take,control,us,weve,got,take,home,gotta,gotta,take,home,gotta,gotta,gotta,take,homeit,comes,time,lives,wanna,bigger,take,control,yeahohweoh,ohweoh,ohweoh,ohweoh,ownwell,guess,gonna,take,control,got,got,got,got,got,gotif,us,weve,got,take,home,hot,handle,cold,hold,theyre,ghost,busters,theyre,controlwell,guess,gonna,take,control,gotta,gotta,take,home,gotta,gotta,take,homeif,us,weve,got,take,home,gotta,gotta,take,home,gotta,gotta,gotta,take,home"
20,two hearts,phil collins,1989,"well,reason,believe,shed,always,dont,put,faith,believe,getting,nowhere,cos,hurts,never,let,go,dont,look,look,cos,shes,always,behind,remind,youtwo,hearts,believing,one,mind,know,two,hearts,believing,one,mindcos,theres,easy,way,understand,theres,much,life,like,im,blinded,teaches,never,let,go,theres,much,love,youll,never,know,reach,matter,far,wherever,aretwo,hearts,believing,one,mind,beating,together,till,end,time,know,two,hearts,believing,one,mind,together,forever,till,end,timeshe,knows,knows,therell,always,special,place,heart,knows,knows,knows,yeah,knows,knows,matter,far,apart,knows,im,always,right,beside,herwere,two,hearts,believing,one,mind,beating,together,till,end,time,know,two,hearts,believing,one,mind,together,forever,till,end,timeyou,know,two,hearts,believing,one,mind,together,forever,til,end,time,two,hearts,two,hearts,believing,one,mind,beating,together,til,end,time"
21,blame it on the rain,milli vanilli,1989,"said,didnt,need,told,goodbye,goodbye,sacrificed,good,love,satisfy,pride,wished,feel,like,fool,let,walk,away,dont,feel,gotta,blame,something,gotta,blame,somethingblame,rain,rain,blame,stars,stars,whatever,dont,put,blame,blame,rain,yeah,yeah,blame,rain,get,ooh,ooh,ooh,cant,cant,cant,cant,stand,rain,cant,cant,cant,cant,stand,rain,yeah,yeah,shouldve,told,sorry,sorry,huh,could,said,wrong,couldnt,prove,strong,ooh,hadnt,blinded,blinded,might,still,want,back,dont,feel,gotta,blame,something,gotta,blame,somethingblame,rain,falling,falling,blame,stars,shine,night,whatever,dont,put,blame,blame,rain,yeah,yeahyou,blame,rain,cos,rain,dont,mind,rain,dont,care,got,blame,something,blame,rain,blame,stars,whatever,dont,put,blame,blame,rain,yeah,yeah,blame,rain,girlooh,ooh,ooh,girl,cant,cant,cant,cant,stand,rain,cant,cant,cant,cant,stand,rainget,girl,whatever,blame,rain,yeah,yeah,x,3,blame,rain,blame,rain,blame,rain,baby,blame,rain,yeah,yeah,blame,stars,shine,night,blame,rain,yeah,yeah,blame,blame,rain,woo,im,walking,im,walkingwalking,rain,walking,rainrain,rain,stars,stars,whatever,dont,put,blame,blame,rain,yeah,yeah,blame,rain,keeps,falling,falling,blame,stars,shine,night,whatever,dont,put,blame,blame,rain,yeah,yeah,blame,rain,rain,rain"
