Rank,Song,Artist,Year,Lyrics_List
22,spirit in the sky,norman greenbaum,1970,"die,lay,rest,gonna,go,place,thats,best,lay,die,goin,spirit,sky,goin,spirit,sky,thats,im,gonna,go,die,die,lay,rest,gonna,go,place,thats,bestprepare,know,must,gotta,friend,jesus,know,die,hes,gonna,recommend,spirit,sky,gonna,recommend,spirit,sky,thats,youre,gonna,go,die,die,lay,rest,youre,gonna,go,place,thats,bestnever,sinner,never,sinned,got,friend,jesus,know,die,hes,gonna,set,spirit,sky,oh,set,spirit,sky,thats,im,gonna,go,die,die,lay,rest,im,gonna,go,place,thats,best,go,place,thats,best"
23,lay down candles in the rain,melanie,1970,"lay,lay,lay,let,white,birds,smile,ones,stand,frownlay,lay,lay,let,white,birds,smile,ones,stand,frownwe,close,room,bled,inside,others,wounds,caught,disease,sang,songs,peacelay,lay,lay,let,white,birds,smile,ones,stand,frownlay,lay,lay,let,white,birds,smile,ones,stand,frownso,raise,candles,high,cause,dont,could,stay,black,night,oh,raise,higher,could,stay,dry,rainlay,lay,lay,let,white,birds,smile,ones,stand,frownlay,lay,lay,let,white,birds,smile,ones,stand,frownwe,close,room,bled,inside,others,wounds,caught,disease,sang,songs,peacesome,came,sing,came,pray,came,keep,dark,awayso,raise,candles,high,cause,dont,could,stay,black,sky,oh,oh,raise,higher,could,stay,dry,rainlay,lay,lay,let,white,birds,smile,ones,stand,frownlay,lay,lay,let,white,birds,smile,ones,stand,frownlay,lay,lay,let,white,birds,smile,ones,stand,frownlay,lay,lay,let,white,birds,smile,ones,stand,frown"
24,ball of confusion thats what the world is today,the temptations,1970,"one,two,one,two,three,four,owpeople,moving,people,moving,color,skin,run,run,run,sure,cant,hidean,eye,eye,tooth,tooth,vote,ill,set,free,rap,brother,rap,onwell,person,talking,love,thy,brother,preacher,seems,nobodys,interested,learning,teacher,segregation,determination,demonstration,integration,aggravation,humiliation,obligation,nationball,confusion,oh,yeah,thats,world,today,woo,hey,heythe,sale,pills,time,high,young,folks,walking,round,heads,sky,cities,ablaze,summer,timeand,oh,beat,goes,onevolution,revolution,gun,control,sound,soul,shooting,rockets,moon,kids,growing,soon,politicians,say,taxes,solve,everythingand,band,played,onso,round,around,around,go,worlds,headed,nobody,knowsoh,great,googalooga,cant,hear,talking,ball,confusion,oh,yeah,thats,world,today,woo,heyfear,air,tension,everywhere,unemployment,rising,fast,beatles,new,records,gasand,safe,place,live,indian,reservationand,band,played,oneve,destruction,tax,deduction,city,inspectors,bill,collectors,mod,clothes,demand,population,hand,suicide,many,bills,hippies,moving,hills,people,world,shouting,end,warand,band,played,ongreat,googalooga,cant,hear,talking,sayin,ball,confusion,thats,world,today,hey,heylet,hear,ya,let,hear,ya,let,hear,ya,sayin,ball,confusion,thats,world,today,hey,hey,let,hear,ya,let,hear,ya,let,hear,ya,let,hear,ya,let,hear,ya,ball,confusion"
26,which way you goin billy,the poppy family,1970,"way,goin,billy,go,way,goin,billy,go,really,love,billy,time,thought,loved,billy,mine,im,gonna,miss,billy,though,im,tryin,im,hurtin,bad,billy,cant,help,cryin,whole,babe,heart,soul,babe,id,nothing,showbabe,go,away,whole,babe,heart,soul,babe,id,nothing,show,babe,go,way,going,billy,need,ask,cause,dont,want,billy,youre,free,last,wont,forget,billy,life,ill,always,love,billy,ill,stay,wife,whole,babe,heart,soul,babe,id,nothing,show,babe,go,away,whole,babe,heart,soul,babe,id,nothing,show,babe,go,whole,babe,heart,soul,babe,id,nothing,show,babe,go,away"
27,all right now,free,1970,"free,fire,water,right,fraserrodgers,stood,streets,smilin,head,feet,said,hey,baby,maybe,shes,need,kiss,said,hey,whats,name,baby,maybe,see,things,dont,wait,hesitate,lets,move,raise,parking,rate,right,baby,right,right,baby,right,took,home,place,watching,every,move,face,said,look,whats,game,baby,tryin,put,shame,said,slow,dont,go,fast,dont,think,love,could,last,said,love,lord,oh,tryin,trick,love,right,baby,right,right,baby,right,let,tell,took,home,place,watching,every,move,face,said,look,whats,game,tryin,put,shame,baby,said,slow,slow,dont,go,fast,dont,think,love,could,last,said,love,lord,tryin,trick,love,right,baby,right,right,baby,right,right,baby,right,right,baby,baby,baby,right,right,baby,right,right,right,right,baby,right,eh,happy,together,right,right,right,everything,right"
28,i want you back,the jackson 5,1970,"uhh,huh,huh,huh,huh,let,tell,ya,uhh,huh,didnt,want,around,pretty,faces,always,made,stand,crowd,someone,picked,bunch,one,glance,took,much,late,take,second,look,oh,baby,give,one,chance,show,love,wont,please,let,back,heart,oh,darlin,blind,let,go,let,go,baby,since,see,arms,want,back,yes,want,back,ooh,ooh,baby,want,back,yaa,yaa,yaa,yaa,want,back,naa,naa,naa,naa,tryin,live,without,love,one,long,sleepless,night,let,show,girl,know,wrong,right,every,street,walk,leave,tear,stains,ground,following,girl,didnt,even,wanna,around,let,tell,oh,baby,need,one,chance,show,love,wont,please,let,back,heart,oh,darlin,blind,let,go,let,go,baby,since,see,arms,buh,buh,buh,buh,buh,buh,buh,buh,want,buh,buh,buh,buh,need,buh,buh,buh,buh,want,buh,buh,buh,buh,need,oh,one,chance,show,love,baby,baby,baby,baby,baby,baby,want,back,forget,happened,want,back,let,live,oh,baby,blind,let,go,since,see,arms,want,back,spare,cause,give,back,lost,oh,baby,need,one,chance,tell,ya,love,baby,baby,baby,want,back,want,back,want,back"
29,julie do ya love me,bobby sherman,1970,"julie,ya,love,bobby,sherman,written,tom,bahler,recorded,bobby,sherman,entered,billboard,top,40,week,august,15,1970,stayed,13,weeks,peaking,5,week,september,19,1970,bein,alone,night,makes,sad,girl,yeah,brings,right,tossin,turnin,freezin,burnin,cryin,night,whoaoh,julie,julie,julie,ya,love,julie,julie,julie,ya,care,julie,julie,ya,thinkin,julie,julie,ya,still,much,fun,together,sure,mine,leavin,baby,drivin,crazy,got,wonderin,time,whoaoh,julie,julie,julie,ya,love,ah,julie,julie,julie,ya,care,julie,julie,ya,thinkin,julie,julie,ya,still,honey,cried,day,left,even,though,knew,couldnt,stay,baby,remember,ill,back,september,till,ill,write,every,day,whoaoh,julie,julie,julie,ya,love,ah,julie,julie,julie,ya,care,come,julie,julie,ya,thinkin,julie,julie,ya,still,ohoh,julie,julie,julie,ya,love,ah,julie,julie,julie,ya,care,julie,julie,ya,thinkin,julie,julie,ya,still"
30,greeneyed lady,sugarloaf,1970,"greeen,eyed,lady,lovely,lady,strolling,slowly,towards,sungreen,eyed,lady,ocean,lady,soothing,every,wave,comesgreen,eyed,lady,passions,lady,dressed,love,lives,life,begreen,eyed,lady,feels,like,never,see,setting,suns,lonely,lovers,freeorgan,solo,long,instrumental,breakgreen,eyed,lady,windswept,lady,moves,night,waves,sandgreen,eyed,lady,ocean,lady,child,nature,friend,mangreen,eyed,lady,passions,lady,dressed,love,lives,life,begreen,eyed,lady,feels,like,never,see,setting,sons,lonely,lovers,free"
31,signed sealed delivered im yours,stevie wonder,1970,"like,fool,went,stayed,long,im,wondering,loves,still,strong,oo,baby,signed,sealed,delivered,im,yoursthen,time,went,said,goodbye,im,back,ashamed,cry,oo,baby,signed,sealed,delivered,im,yourshere,baby,oh,youve,got,future,hand,signed,sealed,delivered,im,baby,oh,youve,got,future,hand,signed,sealed,delivered,im,ive,done,lot,foolish,things,really,didnt,mean,hey,hey,yea,yea,didnt,oh,babyseen,lot,things,old,world,touched,nothing,girl,oo,baby,signed,sealed,delivered,im,oh,im,yoursooo,babe,set,soul,fire,thats,know,desire,ooo,baby,signed,sealed,delivered,im,yourshere,baby,oh,youve,got,future,hand,signed,sealed,delivered,im,baby,oh,youve,got,future,hand,signed,sealed,delivered,im,ive,done,lot,foolish,things,really,didnt,mean,could,broken,man,amwith,future,got,future,babe,baby,baby,signed,sealed,delivered,im,baby,babyhere,baby,still,signed,signed,sealed,delivered,sealed,delivered,im,yeah"
32,ride captain ride,blues image,1970,"blues,image,open,ride,captain,ride,seventythree,men,sailed,san,francisco,bay,rolled,ship,heres,say,callin,everyone,ride,along,another,shore,laugh,lives,away,free,one,heard,callin,one,came,cause,busy,watchin,old,raindrops,fall,storm,blowin,peaceful,sea,seventythree,men,sailed,history,ride,captain,ride,upon,mystery,ship,amazed,friends,trip,ride,captain,ride,upon,mystery,ship,way,world,others,might,missed,instrumental,seventythree,men,sailed,san,francisco,bay,got,ship,heres,say,callin,everyone,ride,along,another,shore,laugh,lives,away,free,ride,captain,ride,upon,mystery,ship,amazed,friends,trip,ride,captain,ride,upon,mystery,ship,way,world,others,might,missed,ride,captain,ride,upon,mystery,ship,amazed,friends,trip,michael,holl,locutusimsaedu"
